station,valid,tmpc,drct,sknt,vsby,wxcodes,skyc1,skyl1
BOS,2024-01-01 00:54,1.11,350.00,9.00,10.00,null,OVC,3900.00
BOS,2024-01-01 01:54,0.56,340.00,7.00,10.00,null,OVC,3700.00
BOS,2024-01-01 02:54,0.56,340.00,7.00,10.00,null,OVC,3700.00
BOS,2024-01-01 03:54,0.56,350.00,5.00,10.00,null,OVC,3500.00
BOS,2024-01-01 04:54,0.56,null,3.00,10.00,null,OVC,3500.00
BOS,2024-01-01 05:54,0.56,320.00,7.00,10.00,null,OVC,3800.00
BOS,2024-01-01 06:54,0.56,320.00,6.00,10.00,null,OVC,3700.00
BOS,2024-01-01 07:54,0.56,320.00,7.00,10.00,null,OVC,3900.00
BOS,2024-01-01 08:54,0.56,360.00,4.00,10.00,null,OVC,3800.00
BOS,2024-01-01 09:54,0.00,360.00,4.00,10.00,null,OVC,3900.00
BOS,2024-01-01 10:54,0.00,20.00,5.00,10.00,null,OVC,4000.00
BOS,2024-01-01 11:54,0.00,10.00,5.00,10.00,null,OVC,4100.00
BOS,2024-01-01 12:54,0.00,10.00,4.00,10.00,null,FEW,3000.00
BOS,2024-01-01 13:54,0.00,10.00,7.00,10.00,null,FEW,3000.00
BOS,2024-01-01 14:54,0.56,350.00,7.00,10.00,null,FEW,3000.00
BOS,2024-01-01 15:54,1.67,null,5.00,10.00,null,OVC,3900.00
BOS,2024-01-01 16:54,2.22,null,5.00,10.00,null,FEW,3000.00
BOS,2024-01-01 17:54,2.22,340.00,6.00,10.00,null,FEW,3000.00
BOS,2024-01-01 18:54,3.33,350.00,5.00,10.00,null,SCT,3500.00
BOS,2024-01-01 19:54,3.33,320.00,5.00,10.00,null,FEW,3500.00
BOS,2024-01-01 20:54,2.78,null,3.00,10.00,null,FEW,3500.00
BOS,2024-01-01 21:54,1.67,360.00,6.00,10.00,null,FEW,3500.00
BOS,2024-01-01 22:54,0.56,60.00,6.00,10.00,null,FEW,3500.00
BOS,2024-01-01 23:54,0.00,40.00,3.00,10.00,null,CLR,null
BOS,2024-01-02 00:54,-0.56,350.00,6.00,10.00,null,FEW,2700.00
BOS,2024-01-02 01:54,-0.56,350.00,6.00,10.00,null,FEW,2900.00
BOS,2024-01-02 02:54,-1.67,340.00,5.00,10.00,null,FEW,3100.00
BOS,2024-01-02 03:54,-1.67,340.00,5.00,10.00,null,CLR,null
BOS,2024-01-02 04:54,-2.22,330.00,8.00,10.00,null,CLR,null
BOS,2024-01-02 05:54,-2.78,340.00,7.00,10.00,null,CLR,null
BOS,2024-01-02 06:54,-3.33,310.00,4.00,10.00,null,CLR,null
BOS,2024-01-02 07:54,-3.89,310.00,9.00,10.00,null,CLR,null
BOS,2024-01-02 08:54,-4.44,320.00,5.00,10.00,null,CLR,null
BOS,2024-01-02 09:54,-4.44,320.00,8.00,10.00,null,CLR,null
BOS,2024-01-02 10:54,-3.89,320.00,5.00,10.00,null,CLR,null
BOS,2024-01-02 11:54,-3.89,300.00,6.00,10.00,null,FEW,5000.00
BOS,2024-01-02 12:54,-3.33,210.00,6.00,10.00,null,FEW,5000.00
BOS,2024-01-02 13:54,-1.67,300.00,6.00,10.00,null,FEW,5000.00
BOS,2024-01-02 14:54,-0.56,290.00,7.00,10.00,null,FEW,5000.00
BOS,2024-01-02 15:54,0.00,250.00,5.00,10.00,null,FEW,25000.00
BOS,2024-01-02 16:54,1.67,240.00,5.00,10.00,null,FEW,25000.00
BOS,2024-01-02 17:54,2.78,280.00,5.00,10.00,null,FEW,25000.00
BOS,2024-01-02 18:54,3.89,270.00,3.00,10.00,null,FEW,25000.00
BOS,2024-01-02 19:54,5.00,310.00,4.00,10.00,null,FEW,25000.00
BOS,2024-01-02 20:54,3.89,0.00,0.00,10.00,null,CLR,null
BOS,2024-01-02 21:54,3.33,220.00,7.00,10.00,null,CLR,null
BOS,2024-01-02 22:54,2.78,220.00,7.00,10.00,null,CLR,null
BOS,2024-01-02 23:54,3.33,280.00,5.00,10.00,null,CLR,null
BOS,2024-01-03 00:54,2.22,240.00,6.00,10.00,null,CLR,null
BOS,2024-01-03 01:54,0.56,210.00,7.00,10.00,null,CLR,null
BOS,2024-01-03 02:54,1.11,230.00,6.00,10.00,null,CLR,null
BOS,2024-01-03 03:54,1.11,270.00,6.00,10.00,null,CLR,null
BOS,2024-01-03 04:54,1.11,280.00,7.00,10.00,null,CLR,null
BOS,2024-01-03 05:54,0.56,290.00,10.00,10.00,null,CLR,null
BOS,2024-01-03 06:54,-0.56,300.00,8.00,10.00,null,CLR,null
BOS,2024-01-03 07:54,-0.56,300.00,7.00,10.00,null,FEW,25000.00
BOS,2024-01-03 08:54,-0.56,300.00,5.00,10.00,null,FEW,25000.00
BOS,2024-01-03 09:54,-0.56,300.00,9.00,10.00,null,FEW,25000.00
BOS,2024-01-03 10:54,-0.56,310.00,5.00,10.00,null,FEW,25000.00
BOS,2024-01-03 11:54,-0.56,300.00,7.00,10.00,null,FEW,5000.00
BOS,2024-01-03 12:54,0.00,320.00,7.00,10.00,null,FEW,5000.00
BOS,2024-01-03 13:54,1.11,310.00,8.00,10.00,null,FEW,5000.00
BOS,2024-01-03 14:54,3.33,290.00,6.00,10.00,null,FEW,5000.00
BOS,2024-01-03 15:54,4.44,300.00,7.00,10.00,null,FEW,5000.00
BOS,2024-01-03 16:54,5.00,320.00,8.00,10.00,null,FEW,5000.00
BOS,2024-01-03 17:54,5.56,360.00,5.00,10.00,null,FEW,5000.00
BOS,2024-01-03 18:54,5.00,null,3.00,10.00,null,SCT,3800.00
BOS,2024-01-03 19:54,5.56,10.00,3.00,10.00,null,BKN,4200.00
BOS,2024-01-03 20:54,5.00,280.00,4.00,10.00,null,FEW,2400.00
BOS,2024-01-03 21:54,5.00,300.00,5.00,10.00,null,OVC,4000.00
BOS,2024-01-03 22:54,5.00,310.00,8.00,10.00,null,OVC,3800.00
BOS,2024-01-03 23:54,4.44,290.00,7.00,10.00,null,OVC,4100.00
BOS,2024-01-04 00:54,4.44,290.00,7.00,10.00,null,OVC,4100.00
BOS,2024-01-04 01:54,3.89,290.00,5.00,10.00,null,OVC,4500.00
BOS,2024-01-04 02:54,3.89,250.00,5.00,10.00,null,OVC,4800.00
BOS,2024-01-04 03:54,3.89,290.00,6.00,10.00,null,OVC,4700.00
BOS,2024-01-04 04:54,3.89,240.00,4.00,10.00,null,OVC,4700.00
BOS,2024-01-04 05:54,3.33,250.00,4.00,10.00,null,OVC,4600.00
BOS,2024-01-04 06:54,2.78,230.00,6.00,10.00,null,OVC,4600.00
BOS,2024-01-04 07:54,3.33,260.00,5.00,10.00,null,OVC,4800.00
BOS,2024-01-04 08:54,3.33,250.00,5.00,10.00,null,OVC,4600.00
BOS,2024-01-04 09:54,3.33,240.00,5.00,10.00,null,OVC,4800.00
BOS,2024-01-04 10:54,3.33,290.00,10.00,10.00,null,OVC,5500.00
