station,valid,tmpc,drct,sknt,vsby,wxcodes
BOS,2024-02-01 00:54,1.11,230.00,9.00,10.00,null
BOS,2024-02-01 01:54,1.11,230.00,9.00,10.00,null
BOS,2024-02-01 02:54,1.67,220.00,8.00,10.00,null
BOS,2024-02-01 03:54,1.11,230.00,9.00,10.00,null
BOS,2024-02-01 04:54,1.11,220.00,7.00,10.00,null
BOS,2024-02-01 05:54,1.11,230.00,8.00,10.00,null
BOS,2024-02-01 06:54,1.11,230.00,8.00,10.00,null
BOS,2024-02-01 07:54,1.11,220.00,7.00,10.00,null
BOS,2024-02-01 08:54,1.11,220.00,7.00,10.00,null
BOS,2024-02-01 09:54,1.11,200.00,6.00,10.00,null
BOS,2024-02-01 10:54,1.11,220.00,6.00,10.00,null
BOS,2024-02-01 11:54,1.67,210.00,7.00,10.00,null
BOS,2024-02-01 12:54,1.67,210.00,8.00,10.00,null
BOS,2024-02-01 13:54,2.22,220.00,7.00,10.00,null
BOS,2024-02-01 14:54,2.78,220.00,11.00,10.00,null
BOS,2024-02-01 15:54,4.44,230.00,10.00,10.00,null
BOS,2024-02-01 16:54,3.89,220.00,9.00,10.00,null
BOS,2024-02-01 17:54,5.00,210.00,9.00,10.00,null
BOS,2024-02-01 18:54,5.56,200.00,10.00,10.00,null
BOS,2024-02-01 19:54,5.56,200.00,3.00,10.00,null
BOS,2024-02-01 20:54,5.56,200.00,5.00,10.00,null
BOS,2024-02-01 21:54,5.00,180.00,5.00,10.00,null
BOS,2024-02-01 22:54,5.56,200.00,8.00,10.00,null
BOS,2024-02-01 23:54,5.00,220.00,6.00,10.00,null
BOS,2024-02-02 00:54,5.56,210.00,7.00,10.00,null
BOS,2024-02-02 01:54,5.00,220.00,8.00,10.00,null
BOS,2024-02-02 02:54,5.00,260.00,8.00,10.00,null
BOS,2024-02-02 03:54,4.44,260.00,8.00,10.00,null
BOS,2024-02-02 04:54,4.44,270.00,8.00,10.00,null
BOS,2024-02-02 05:54,4.44,250.00,9.00,10.00,null
BOS,2024-02-02 06:54,4.44,260.00,9.00,10.00,null
BOS,2024-02-02 07:54,3.89,250.00,5.00,10.00,null
BOS,2024-02-02 08:54,3.89,260.00,7.00,10.00,null
BOS,2024-02-02 09:54,4.44,280.00,4.00,8.00,null
BOS,2024-02-02 10:54,4.44,190.00,3.00,10.00,null
BOS,2024-02-02 11:54,3.33,0.00,0.00,9.00,null
BOS,2024-02-02 12:54,4.44,50.00,3.00,9.00,null
BOS,2024-02-02 13:54,4.44,30.00,4.00,10.00,null
BOS,2024-02-02 14:54,4.44,10.00,6.00,10.00,null
BOS,2024-02-02 15:54,4.44,10.00,6.00,7.00,null
BOS,2024-02-02 16:54,4.44,360.00,6.00,10.00,null
BOS,2024-02-02 17:54,5.00,350.00,8.00,10.00,null
BOS,2024-02-02 18:54,5.00,360.00,9.00,10.00,null
BOS,2024-02-02 19:54,5.00,360.00,7.00,10.00,null
BOS,2024-02-02 20:54,5.56,360.00,9.00,10.00,null
BOS,2024-02-02 21:54,5.56,350.00,6.00,10.00,null
BOS,2024-02-02 22:54,5.56,350.00,7.00,10.00,null
BOS,2024-02-02 23:54,4.44,20.00,5.00,10.00,null
BOS,2024-02-03 00:54,3.89,360.00,9.00,9.00,-RA
BOS,2024-02-03 01:54,1.67,20.00,8.00,2.50,+RA BR
BOS,2024-02-03 02:54,2.78,340.00,9.00,10.00,null
BOS,2024-02-03 03:54,2.22,340.00,9.00,10.00,null
BOS,2024-02-03 04:54,1.67,340.00,10.00,10.00,null
BOS,2024-02-03 05:54,0.56,330.00,12.00,10.00,null
BOS,2024-02-03 06:54,0.56,330.00,11.00,10.00,null
BOS,2024-02-03 07:54,0.56,330.00,11.00,10.00,null
BOS,2024-02-03 08:54,0.00,340.00,10.00,10.00,null
BOS,2024-02-03 09:54,-0.56,330.00,11.00,10.00,null
BOS,2024-02-03 10:54,-0.56,340.00,12.00,10.00,null
BOS,2024-02-03 11:54,-1.11,330.00,11.00,10.00,null
BOS,2024-02-03 12:54,-1.67,340.00,10.00,10.00,null
BOS,2024-02-03 13:54,-1.11,350.00,14.00,10.00,null
BOS,2024-02-03 14:54,-0.56,10.00,14.00,10.00,null
BOS,2024-02-03 15:54,1.11,330.00,11.00,10.00,null
BOS,2024-02-03 16:54,1.67,340.00,11.00,10.00,null
