station,valid,tmpc,drct,sknt,vsby,wxcodes
EWR,2024-06-01 00:51,23.33,290.00,8.00,10.00,null
EWR,2024-06-01 01:51,22.22,310.00,10.00,10.00,null
EWR,2024-06-01 02:51,21.11,320.00,7.00,10.00,null
EWR,2024-06-01 03:51,20.56,310.00,10.00,10.00,null
EWR,2024-06-01 04:51,18.89,290.00,7.00,10.00,null
EWR,2024-06-01 05:51,17.78,300.00,4.00,10.00,null
EWR,2024-06-01 06:51,17.22,270.00,4.00,10.00,null
EWR,2024-06-01 07:51,16.67,280.00,8.00,10.00,null
EWR,2024-06-01 08:51,16.11,300.00,4.00,10.00,null
EWR,2024-06-01 09:51,15.00,220.00,4.00,10.00,null
EWR,2024-06-01 10:51,18.89,300.00,3.00,10.00,null
EWR,2024-06-01 11:51,20.56,340.00,8.00,10.00,null
EWR,2024-06-01 12:51,22.78,330.00,9.00,10.00,null
EWR,2024-06-01 13:51,24.44,360.00,12.00,10.00,null
EWR,2024-06-01 14:51,26.11,360.00,6.00,10.00,null
EWR,2024-06-01 15:51,26.67,null,4.00,10.00,null
EWR,2024-06-01 16:51,28.89,10.00,4.00,10.00,null
EWR,2024-06-01 17:51,29.44,310.00,8.00,10.00,null
EWR,2024-06-01 18:51,30.56,260.00,11.00,10.00,null
EWR,2024-06-01 19:51,30.00,250.00,12.00,10.00,null
EWR,2024-06-01 20:51,30.00,240.00,12.00,10.00,null
EWR,2024-06-01 21:51,29.44,280.00,10.00,10.00,null
EWR,2024-06-01 22:51,28.33,260.00,13.00,10.00,null
EWR,2024-06-01 23:51,27.22,250.00,10.00,10.00,null
EWR,2024-06-02 00:51,26.11,240.00,12.00,10.00,null
EWR,2024-06-02 01:51,25.00,250.00,8.00,10.00,null
EWR,2024-06-02 02:51,23.89,250.00,8.00,10.00,null
EWR,2024-06-02 03:51,22.78,260.00,7.00,10.00,null
EWR,2024-06-02 04:51,21.11,220.00,8.00,10.00,null
EWR,2024-06-02 05:51,21.11,230.00,10.00,10.00,null
EWR,2024-06-02 06:51,20.00,230.00,6.00,10.00,null
EWR,2024-06-02 07:51,17.22,220.00,5.00,10.00,null
EWR,2024-06-02 08:51,18.89,230.00,6.00,10.00,null
EWR,2024-06-02 09:51,18.33,220.00,5.00,10.00,null
EWR,2024-06-02 10:51,18.89,210.00,5.00,10.00,null
EWR,2024-06-02 11:51,20.00,230.00,6.00,10.00,null
EWR,2024-06-02 12:51,22.22,230.00,5.00,10.00,null
EWR,2024-06-02 13:51,25.00,null,5.00,10.00,null
EWR,2024-06-02 14:51,26.67,240.00,6.00,10.00,null
EWR,2024-06-02 15:51,27.78,260.00,9.00,10.00,null
EWR,2024-06-02 16:51,28.89,230.00,10.00,10.00,null
EWR,2024-06-02 17:51,29.44,null,5.00,10.00,null
EWR,2024-06-02 18:51,27.78,210.00,8.00,10.00,null
EWR,2024-06-02 19:51,27.78,260.00,10.00,10.00,null
EWR,2024-06-02 20:51,27.22,240.00,11.00,10.00,null
EWR,2024-06-02 21:51,27.78,240.00,8.00,10.00,null
EWR,2024-06-02 22:51,27.22,240.00,10.00,10.00,null
EWR,2024-06-02 23:51,26.11,160.00,5.00,10.00,null
EWR,2024-06-03 00:51,25.00,170.00,4.00,10.00,null
EWR,2024-06-03 01:51,25.00,180.00,3.00,10.00,null
EWR,2024-06-03 02:51,24.44,200.00,3.00,10.00,-RA
